Total_Mass, Gas_Mass, DM_Mass, Star_Mass, BH_Mass
10.8367, 9.78959, 10.6511, 10.2484, -inf
11.1705, 10.1126, 10.955, 10.653, -inf
10.0117, 8.29766, 9.94637, 9.09188, -inf
10.3742, 8.65478, 10.3143, 9.41425, -inf
10.1258, 8.46915, 10.0713, 9.10749, -inf
9.76635, 8.07966, 9.67337, 9.00229, -inf
9.85537, 8.3733, 9.77028, 9.01665, -inf
10.4292, 8.54978, 10.3935, 9.24651, -inf
11.1365, 10.0039, 10.9405, 10.5981, 4.77828
10.8299, 10.01, 10.6568, 10.0787, 4.73552
11.0631, 10.1192, 10.9346, 10.2166, 5.22493
11.4942, 9.44521, 11.3205, 10.9997, 8.15667
10.7338, 9.80824, 10.5337, 10.1327, 4.46688
10.7236, 9.80553, 10.5027, 10.1677, 4.25589
10.5259, 9.93329, 10.3723, 9.15323, 4.33104
10.8123, 9.85304, 10.6336, 10.1693, 4.06217
10.6443, -inf, 10.4778, 10.1473, 4.71205
10.606, 9.68417, 10.3723, 10.078, 5.43775
11.9389, 10.3477, 11.7767, 11.3952, 7.80148
10.6248, 9.83431, 10.3723, 10.0701, 4.68694
11.3091, 10.0503, 11.132, 10.7559, 6.37816
10.6749, 9.75614, 10.5106, 9.96325, 5.1031
11.348, 10.2734, 11.145, 10.809, 5.3108
10.8109, 9.6808, 10.5898, 10.3224, 3.495
